ID,County,City,State,ZIP Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Electric Utility,Expected Price ($1k)
EV33174,Snohomish,LYNNWOOD,WA,98037,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,PUGET SOUND ENERGY INC,50
EV40247,Skagit,BELLINGHAM,WA,98229,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,PUGET SOUND ENERGY INC,15
EV12248,Pierce,TACOMA,WA,98422,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,18
EV55713,King,REDMOND,WA,98053,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),33.9
EV28799,Pierce,PUYALLUP,WA,98375,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,41.78
EV49859,Clark,VANCOUVER,WA,98683,2016,HYUNDAI,SONATA PLUG-IN HYBRID,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),16.365
EV35778,King,SEATTLE,WA,98107,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),31.5
EV53121,Spokane,SPOKANE,WA,99224,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,MODERN ELECTRIC WATER COMPANY,65
EV46881,King,BOTHELL,WA,98011,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),19
EV32004,King,KENMORE,WA,98028,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),27
EV54503,King,REDMOND,WA,98052,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),40
EV70234,King,REDMOND,WA,98052,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),18
EV84009,King,SEATTLE,WA,98107,2022,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),41.5
EV90043,King,SEATTLE,WA,98119,2018,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),25.004
EV76939,King,SAMMAMISH,WA,98074,2020,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),79.596
EV35107,Island,COUPEVILLE,WA,98239,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,PUGET SOUND ENERGY INC,72
EV6050,Klickitat,WHITE SALMON,WA,98672,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,39
EV27796,Snohomish,MUKILTEO,WA,98275,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,PUGET SOUND ENERGY INC,16
EV76014,Pierce,UNIVERSITY PLACE,WA,98467,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,33
EV69410,King,COVINGTON,WA,98042,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),69
EV46414,King,CLYDE HILL,WA,98004,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),65
